"","pathway_name","ID","family","mapp_type","category","mapped_ID","mapped_family"
"133","B cell receptor signaling pathway - Homo sapiens (human)","path:hsa04662","kegg","isPartOf","Adaptive Immune System","R-HSA-1280218","reactome"
"134","B cell receptor signaling pathway - Homo sapiens (human)","path:hsa04662","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"135","RNA polymerase II transcribes snRNA genes","R-HSA-6807505","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"136","RNA Polymerase II Pre-transcription Events","R-HSA-674695","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"137","RNA Polymerase II Promoter Escape","R-HSA-73776","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"138","RNA Pol II CTD phosphorylation and interaction with CE during HIV infection","R-HSA-167160","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"139","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg","isPartOf","RNA Polymerase II Transcription","R-HSA-73857","reactome"
"140","RNA Pol II CTD phosphorylation and interaction with CE","R-HSA-77075","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"141","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg","isPartOf","Generic Transcription Pathway","R-HSA-212436","reactome"
"142","RNA Polymerase II Transcription Initiation","R-HSA-75953","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"143","RNA Polymerase II HIV Promoter Escape","R-HSA-167162","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"144","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg","isPartOf","Metabolism of RNA","R-HSA-8953854","reactome"
"145","RNA Polymerase I Transcription Termination","R-HSA-73863","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"146","RNA Polymerase I Promoter Escape","R-HSA-73772","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"147","RNA Polymerase II Transcription","R-HSA-73857","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"148","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","R-HSA-73779","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"149","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg","isPartOf","Gene expression (Transcription)","R-HSA-74160","reactome"
"150","RNA Polymerase II Transcription Initiation And Promoter Clearance","R-HSA-76042","reactome","isPartOf","Basal transcription factors - Homo sapiens (human)","path:hsa03022","kegg"
"151","Base excision repair - Homo sapiens (human)","path:hsa03410","kegg","equivalentTo","Base Excision Repair","R-HSA-73884","reactome"
"152","Bile secretion - Homo sapiens (human)","path:hsa04976","kegg","isPartOf","Digestion","R-HSA-8935690","reactome"
"153","Amino acid synthesis and interconversion (transamination)","R-HSA-70614","reactome","isPartOf","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg"
"154","Cysteine formation from homocysteine","R-HSA-1614603","reactome","isPartOf","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg"
"155","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"156","Urea cycle","R-HSA-70635","reactome","isPartOf","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg"
"157","Phenylalanine and tyrosine catabolism","R-HSA-71182","reactome","isPartOf","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg"
"158","Biosynthesis of amino acids - Homo sapiens (human)","path:hsa01230","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"159","Linoleic acid (LA) metabolism","R-HSA-2046105","reactome","isPartOf","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg"
"160","Fatty acyl-CoA biosynthesis","R-HSA-75105","reactome","isPartOf","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg"
"161","Synthesis of very long-chain fatty acyl-CoAs","R-HSA-75876","reactome","isPartOf","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg"
"162","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg","isPartOf","Fatty acid metabolism","R-HSA-8978868","reactome"
"163","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"164","Synthesis of 5-eicosatetraenoic acids","R-HSA-2142688","reactome","isPartOf","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg"
"165","Biosynthesis of unsaturated fatty acids - Homo sapiens (human)","path:hsa01040","kegg","isPartOf","Metabolism of lipids","R-HSA-556833","reactome"
"166","Biotin metabolism - Homo sapiens (human)","path:hsa00780","kegg","isPartOf","Biotin transport and metabolism","R-HSA-196780","reactome"
"167","Beta oxidation of hexanoyl-CoA to butanoyl-CoA","R-HSA-77350","reactome","isPartOf","Butanoate metabolism - Homo sapiens (human)","path:hsa00650","kegg"
"168","Beta oxidation of butanoyl-CoA to acetyl-CoA","R-HSA-77352","reactome","isPartOf","Butanoate metabolism - Homo sapiens (human)","path:hsa00650","kegg"
"169","Butanoate metabolism - Homo sapiens (human)","path:hsa00650","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"170","Caffeine metabolism - Homo sapiens (human)","path:hsa00232","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"171","Elevation of cytosolic Ca2+ levels","R-HSA-139853","reactome","isPartOf","Calcium signaling pathway - Homo sapiens (human)","path:hsa04020","kegg"
"172","CaM pathway","R-HSA-111997","reactome","isPartOf","Calcium signaling pathway - Homo sapiens (human)","path:hsa04020","kegg"
"173","Platelet calcium homeostasis","R-HSA-418360","reactome","isPartOf","Calcium signaling pathway - Homo sapiens (human)","path:hsa04020","kegg"
"174","Activation of CaMK IV","R-HSA-442745","reactome","isPartOf","Calcium signaling pathway - Homo sapiens (human)","path:hsa04020","kegg"
"175","Reduction of cytosolic Ca++ levels","R-HSA-418359","reactome","isPartOf","Calcium signaling pathway - Homo sapiens (human)","path:hsa04020","kegg"
"176","Intestinal absorption","R-HSA-8963676","reactome","isPartOf","Carbohydrate digestion and absorption - Homo sapiens (human)","path:hsa04973","kegg"
"177","Digestion of dietary carbohydrate","R-HSA-189085","reactome","isPartOf","Carbohydrate digestion and absorption - Homo sapiens (human)","path:hsa04973","kegg"
"178","Intestinal saccharidase deficiencies","R-HSA-5659898","reactome","isPartOf","Carbohydrate digestion and absorption - Homo sapiens (human)","path:hsa04973","kegg"
"179","Intestinal hexose absorption","R-HSA-8981373","reactome","isPartOf","Carbohydrate digestion and absorption - Homo sapiens (human)","path:hsa04973","kegg"
"180","Digestion and absorption","R-HSA-8963743","reactome","isPartOf","Carbohydrate digestion and absorption - Homo sapiens (human)","path:hsa04973","kegg"
"181","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg","equivalentTo","Metabolism of carbohydrates","R-HSA-71387","reactome"
"182","Glucose metabolism","R-HSA-70326","reactome","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"183","Fructose metabolism","R-HSA-5652084","reactome","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"184","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"185","5-Phosphoribose 1-diphosphate biosynthesis","R-HSA-73843","reactome","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"186","Glycogen metabolism","R-HSA-8982491","reactome","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"187","Pyruvate metabolism and Citric Acid (TCA) cycle","R-HSA-71406","reactome","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"188","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg","isPartOf","Pentose phosphate pathway disease","R-HSA-6791465","reactome"
"189","Glycolysis","R-HSA-70171","reactome","isPartOf","Carbon metabolism - Homo sapiens (human)","path:hsa01200","kegg"
"190","Cardiac muscle contraction - Homo sapiens (human)","path:hsa04260","kegg","isPartOf","Muscle contraction","R-HSA-397014","reactome"
"191","Cell adhesion molecules (CAMs) - Homo sapiens (human)","path:hsa04514","kegg","isPartOf","Cell-cell junction organization","R-HSA-421270","reactome"
"192","Neurofascin interactions","R-HSA-447043","reactome","isPartOf","Cell adhesion molecules (CAMs) - Homo sapiens (human)","path:hsa04514","kegg"
"193","Cell-cell junction organization","R-HSA-421270","reactome","isPartOf","Cell adhesion molecules (CAMs) - Homo sapiens (human)","path:hsa04514","kegg"
"194","Cell adhesion molecules (CAMs) - Homo sapiens (human)","path:hsa04514","kegg","isPartOf","Tight junction interactions","R-HSA-420029","reactome"
"195","Cell cycle - Homo sapiens (human)","path:hsa04110","kegg","equivalentTo","Cell Cycle","R-HSA-1640170","reactome"
"196","Cellular senescence - Homo sapiens (human)","path:hsa04218","kegg","equivalentTo","Cellular Senescence","R-HSA-2559583","reactome"
"197","Chemokine receptors bind chemokines","R-HSA-380108","reactome","isPartOf","Chemokine signaling pathway - Homo sapiens (human)","path:hsa04062","kegg"
"198","LDL remodeling","R-HSA-8964041","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"199","Chylomicron assembly","R-HSA-8963888","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"200","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"201","HDL clearance","R-HSA-8964011","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"202","HDL remodeling","R-HSA-8964058","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"203","Chylomicron remodeling","R-HSA-8963901","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"204","Plasma lipoprotein clearance","R-HSA-8964043","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"205","Plasma lipoprotein assembly","R-HSA-8963898","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"206","VLDL assembly","R-HSA-8866423","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"207","Chylomicron clearance","R-HSA-8964026","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"208","LDL clearance","R-HSA-8964038","reactome","isPartOf","Cholesterol metabolism - Homo sapiens (human)","path:hsa04979","kegg"
"209","Muscarinic acetylcholine receptors","R-HSA-390648","reactome","isPartOf","Cholinergic synapse - Homo sapiens (human)","path:hsa04725","kegg"
"210","Citrate cycle (TCA cycle) - Homo sapiens (human)","path:hsa00020","kegg","equivalentTo","Citric acid cycle (TCA cycle)","R-HSA-71403","reactome"
"211","Defective Mismatch Repair Associated With MSH3","R-HSA-5632927","reactome","isPartOf","Colorectal cancer - Homo sapiens (human)","path:hsa05210","kegg"
"212","Defective Mismatch Repair Associated With MSH2","R-HSA-5632928","reactome","isPartOf","Colorectal cancer - Homo sapiens (human)","path:hsa05210","kegg"
"213","Defective Mismatch Repair Associated With MSH6","R-HSA-5632968","reactome","isPartOf","Colorectal cancer - Homo sapiens (human)","path:hsa05210","kegg"
"214","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"215","Hemostasis","R-HSA-109582","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"216","Alternative complement activation","R-HSA-173736","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"217","Activation of C3 and C5","R-HSA-174577","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"218","Regulation of Complement cascade","R-HSA-977606","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"219","Complement cascade","R-HSA-166658","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"220","Common Pathway of Fibrin Clot Formation","R-HSA-140875","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"221","Formation of Fibrin Clot (Clotting Cascade)","R-HSA-140877","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"222","Dissolution of Fibrin Clot","R-HSA-75205","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"223","Terminal pathway of complement","R-HSA-166665","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"224","Extrinsic Pathway of Fibrin Clot Formation","R-HSA-140834","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"225","Intrinsic Pathway of Fibrin Clot Formation","R-HSA-140837","reactome","isPartOf","Complement and coagulation cascades - Homo sapiens (human)","path:hsa04610","kegg"
"226","Mineralocorticoid biosynthesis","R-HSA-193993","reactome","isPartOf","Cortisol synthesis and secretion - Homo sapiens (human)","path:hsa04927","kegg"
"227","Cholesterol biosynthesis via desmosterol","R-HSA-6807047","reactome","isPartOf","Cortisol synthesis and secretion - Homo sapiens (human)","path:hsa04927","kegg"
"228","Cholesterol biosynthesis via lathosterol","R-HSA-6807062","reactome","isPartOf","Cortisol synthesis and secretion - Homo sapiens (human)","path:hsa04927","kegg"
"229","Glucocorticoid biosynthesis","R-HSA-194002","reactome","isPartOf","Cortisol synthesis and secretion - Homo sapiens (human)","path:hsa04927","kegg"
"230","Cortisol synthesis and secretion - Homo sapiens (human)","path:hsa04927","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"231","Cysteine and methionine metabolism - Homo sapiens (human)","path:hsa00270","kegg","isPartOf","Sulfur amino acid metabolism","R-HSA-1614635","reactome"
"232","Cysteine formation from homocysteine","R-HSA-1614603","reactome","isPartOf","Cysteine and methionine metabolism - Homo sapiens (human)","path:hsa00270","kegg"
"233","Cysteine and methionine metabolism - Homo sapiens (human)","path:hsa00270","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"234","Cysteine and methionine metabolism - Homo sapiens (human)","path:hsa00270","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"235","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg","isPartOf","Cytokine Signaling in Immune system","R-HSA-1280215","reactome"
"236","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg","isPartOf","Immune System","R-HSA-168256","reactome"
"237","IL-6-type cytokine receptor ligand interactions","R-HSA-6788467","reactome","isPartOf","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg"
"238","TNFs bind their physiological receptors","R-HSA-5669034","reactome","isPartOf","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg"
"239","Chemokine receptors bind chemokines","R-HSA-380108","reactome","isPartOf","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg"
"240","Cytokine-cytokine receptor interaction - Homo sapiens (human)","path:hsa04060","kegg","isPartOf","Ligand-receptor interactions","R-HSA-5632681","reactome"
"241","Cytosolic DNA-sensing pathway - Homo sapiens (human)","path:hsa04623","kegg","isPartOf","Cytosolic sensors of pathogen-associated DNA","R-HSA-1834949","reactome"
"242","D-Arginine and D-ornithine metabolism - Homo sapiens (human)","path:hsa00472","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"243","D-Arginine and D-ornithine metabolism - Homo sapiens (human)","path:hsa00472","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"244","D-Glutamine and D-glutamate metabolism - Homo sapiens (human)","path:hsa00471","kegg","isPartOf","Metabolism of amino acids and derivatives","R-HSA-71291","reactome"
"245","D-Glutamine and D-glutamate metabolism - Homo sapiens (human)","path:hsa00471","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"246","D-Glutamine and D-glutamate metabolism - Homo sapiens (human)","path:hsa00471","kegg","isPartOf","Amino acid synthesis and interconversion (transamination)","R-HSA-70614","reactome"
"247","DNA replication - Homo sapiens (human)","path:hsa03030","kegg","equivalentTo","DNA Replication","R-HSA-69306","reactome"
"248","Dopamine receptors","R-HSA-390651","reactome","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"249","Enzymatic degradation of dopamine by COMT","R-HSA-379397","reactome","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"250","Activation of AMPA receptors","R-HSA-399710","reactome","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"251","Enzymatic degradation of Dopamine by monoamine oxidase","R-HSA-379398","reactome","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"252","Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB","R-HSA-141333","reactome","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"253","Dopamine clearance from the synaptic cleft","R-HSA-379401","reactome","isPartOf","Dopaminergic synapse - Homo sapiens (human)","path:hsa04728","kegg"
"254","Ethanol oxidation","R-HSA-71384","reactome","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"255","Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB","R-HSA-141333","reactome","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"256","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"257","CYP2E1 reactions","R-HSA-211999","reactome","isPartOf","Drug metabolism - cytochrome P450 - Homo sapiens (human)","path:hsa00982","kegg"
"258","Drug metabolism - other enzymes - Homo sapiens (human)","path:hsa00983","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"259","ECM proteoglycans","R-HSA-3000178","reactome","isPartOf","ECM-receptor interaction - Homo sapiens (human)","path:hsa04512","kegg"
"260","ECM-receptor interaction - Homo sapiens (human)","path:hsa04512","kegg","isPartOf","Extracellular matrix organization","R-HSA-1474244","reactome"
"261","Laminin interactions","R-HSA-3000157","reactome","isPartOf","ECM-receptor interaction - Homo sapiens (human)","path:hsa04512","kegg"
"262","Endosomal Sorting Complex Required For Transport (ESCRT)","R-HSA-917729","reactome","isPartOf","Endocytosis - Homo sapiens (human)","path:hsa04144","kegg"
"263","Cargo recognition for clathrin-mediated endocytosis","R-HSA-8856825","reactome","isPartOf","Endocytosis - Homo sapiens (human)","path:hsa04144","kegg"
"264","Clathrin-mediated endocytosis","R-HSA-8856828","reactome","isPartOf","Endocytosis - Homo sapiens (human)","path:hsa04144","kegg"
"265","PI3K events in ERBB4 signaling","R-HSA-1250342","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"266","Signaling by ERBB4","R-HSA-1236394","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"267","GRB2 events in ERBB2 signaling","R-HSA-1963640","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"268","ERBB2 Regulates Cell Motility","R-HSA-6785631","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"269","PI3K events in ERBB2 signaling","R-HSA-1963642","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"270","ERBB2 Activates PTK6 Signaling","R-HSA-8847993","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"271","GRB7 events in ERBB2 signaling","R-HSA-1306955","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"272","Downregulation of ERBB2:ERBB3 signaling","R-HSA-1358803","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"273","Downregulation of ERBB4 signaling","R-HSA-1253288","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"274","Downregulation of ERBB2 signaling","R-HSA-8863795","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"275","SHC1 events in ERBB4 signaling","R-HSA-1250347","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"276","Signaling by ERBB2","R-HSA-1227986","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"277","Nuclear signaling by ERBB4","R-HSA-1251985","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"278","SHC1 events in ERBB2 signaling","R-HSA-1250196","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"279","PLCG1 events in ERBB2 signaling","R-HSA-1251932","reactome","isPartOf","ErbB signaling pathway - Homo sapiens (human)","path:hsa04012","kegg"
"280","Ether lipid metabolism - Homo sapiens (human)","path:hsa00565","kegg","isPartOf","Metabolism of lipids","R-HSA-556833","reactome"
"281","Phospholipid metabolism","R-HSA-1483257","reactome","isPartOf","Ether lipid metabolism - Homo sapiens (human)","path:hsa00565","kegg"
"282","Ether lipid metabolism - Homo sapiens (human)","path:hsa00565","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"283","Fanconi anemia pathway - Homo sapiens (human)","path:hsa03460","kegg","equivalentTo","Fanconi Anemia Pathway","R-HSA-6783310","reactome"
"284","Digestion of dietary lipid","R-HSA-192456","reactome","isPartOf","Fat digestion and absorption - Homo sapiens (human)","path:hsa04975","kegg"
"285","Intestinal lipid absorption","R-HSA-8963678","reactome","isPartOf","Fat digestion and absorption - Homo sapiens (human)","path:hsa04975","kegg"
"286","Fat digestion and absorption - Homo sapiens (human)","path:hsa04975","kegg","isPartOf","Intestinal absorption","R-HSA-8963676","reactome"
"287","Fat digestion and absorption - Homo sapiens (human)","path:hsa04975","kegg","isPartOf","Digestion and absorption","R-HSA-8963743","reactome"
"288","Fatty acid biosynthesis - Homo sapiens (human)","path:hsa00061","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"289","Fatty acyl-CoA biosynthesis","R-HSA-75105","reactome","isPartOf","Fatty acid biosynthesis - Homo sapiens (human)","path:hsa00061","kegg"
"290","Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA","R-HSA-77346","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"291","Beta oxidation of hexanoyl-CoA to butanoyl-CoA","R-HSA-77350","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"292","Beta oxidation of octanoyl-CoA to hexanoyl-CoA","R-HSA-77348","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"293","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg","isPartOf","Metabolism of lipids","R-HSA-556833","reactome"
"294","mitochondrial fatty acid beta-oxidation of saturated fatty acids","R-HSA-77286","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"295","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg","isPartOf","Fatty acid metabolism","R-HSA-8978868","reactome"
"296","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"297","Beta oxidation of myristoyl-CoA to lauroyl-CoA","R-HSA-77285","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"298","mitochondrial fatty acid beta-oxidation of unsaturated fatty acids","R-HSA-77288","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"299","Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA","R-HSA-77310","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"300","Beta oxidation of palmitoyl-CoA to myristoyl-CoA","R-HSA-77305","reactome","isPartOf","Fatty acid degradation - Homo sapiens (human)","path:hsa00071","kegg"
"301","Fatty acid elongation - Homo sapiens (human)","path:hsa00062","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"302","Fatty acid elongation - Homo sapiens (human)","path:hsa00062","kegg","isPartOf","Metabolism of lipids","R-HSA-556833","reactome"
"303","Fatty acid elongation - Homo sapiens (human)","path:hsa00062","kegg","isPartOf","Fatty acid metabolism","R-HSA-8978868","reactome"
"304","Fatty acid elongation - Homo sapiens (human)","path:hsa00062","kegg","isPartOf","Fatty acids","R-HSA-211935","reactome"
"305","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg","equivalentTo","Fatty acid metabolism","R-HSA-8978868","reactome"
"306","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg","isPartOf","Metabolism of lipids","R-HSA-556833","reactome"
"307","Fatty acid metabolism - Homo sapiens (human)","path:hsa01212","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"308","Fc epsilon RI signaling pathway - Homo sapiens (human)","path:hsa04664","kegg","equivalentTo","Fc epsilon receptor (FCERI) signaling","R-HSA-2454202","reactome"
"309","phospho-PLA2 pathway","R-HSA-111995","reactome","isPartOf","Fc epsilon RI signaling pathway - Homo sapiens (human)","path:hsa04664","kegg"
"310","Fc epsilon receptor (FCERI) signaling","R-HSA-2454202","reactome","isPartOf","Fc epsilon RI signaling pathway - Homo sapiens (human)","path:hsa04664","kegg"
"311","Fc gamma R-mediated phagocytosis - Homo sapiens (human)","path:hsa04666","kegg","equivalentTo","Fcgamma receptor (FCGR) dependent phagocytosis","R-HSA-2029480","reactome"
"312","Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)","R-HSA-5619048","reactome","isPartOf","Ferroptosis - Homo sapiens (human)","path:hsa04216","kegg"
"313","Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)","R-HSA-5578999","reactome","isPartOf","Ferroptosis - Homo sapiens (human)","path:hsa04216","kegg"
"314","Laminin interactions","R-HSA-3000157","reactome","isPartOf","Focal adhesion - Homo sapiens (human)","path:hsa04510","kegg"
"315","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","R-HSA-446343","reactome","isPartOf","Focal adhesion - Homo sapiens (human)","path:hsa04510","kegg"
"316","Integrin signaling","R-HSA-9006921","reactome","isPartOf","Focal adhesion - Homo sapiens (human)","path:hsa04510","kegg"
"317","Non-integrin membrane-ECM interactions","R-HSA-3000171","reactome","isPartOf","Focal adhesion - Homo sapiens (human)","path:hsa04510","kegg"
"318","Integrin alphaIIb beta3 signaling","R-HSA-354192","reactome","isPartOf","Focal adhesion - Homo sapiens (human)","path:hsa04510","kegg"
"319","Folate biosynthesis - Homo sapiens (human)","path:hsa00790","kegg","isPartOf","Metabolism","R-HSA-1430728","reactome"
"320","Molybdenum cofactor biosynthesis","R-HSA-947581","reactome","isPartOf","Folate biosynthesis - Homo sapiens (human)","path:hsa00790","kegg"
"321","Folate biosynthesis - Homo sapiens (human)","path:hsa00790","kegg","isPartOf","Metabolism of water-soluble vitamins and cofactors","R-HSA-196849","reactome"
"322","Folate biosynthesis - Homo sapiens (human)","path:hsa00790","kegg","isPartOf","Metabolism of vitamins and cofactors","R-HSA-196854","reactome"
